timestamp,service,pod.id,cpu.num.cores,cpu.usage,cpu.usage.cores,cpu.usage.pct,cpu.usage.pct.container.requested,mem.current,mem.limit,mem.usage.pct,mem.working.set
177,1566386950,service2,exec2,16,12953585737,0.893,5.58,21.8,11435208704,19327352832,59.17,11435143168
178,1566386960,service2,exec2,16,14300144058,0.878,5.49,21.44,11435098112,19327352832,59.17,11435032576
179,1566386980,service2,exec2,16,19867689628,1.026,6.41,25.05,11435212800,19327352832,59.17,11435147264
180,1566387010,service2,exec2,16,14398832234,0.895,5.59,21.85,11435130880,19327352832,59.17,11435065344
181,1566387020,service2,exec2,16,15733308581,1.081,6.76,26.39,11436982272,19327352832,59.17,11436920832
182,1566387040,service2,exec2,16,18456017369,1.051,6.57,25.66,11436994560,19327352832,59.17,11436933120
183,1566387050,service2,exec2,16,19178730431,0.993,6.21,24.24,11437330432,19327352832,59.18,11437264896
184,1566387070,service2,exec2,16,17533279662,1.174,7.34,28.66,11437629440,19327352832,59.18,11437555712
185,1566387080,service2,exec2,16,20585335752,1.164,7.28,28.42,11583098880,19327352832,59.93,11583025152
186,1566387100,service2,exec2,16,12266340513,0.902,5.64,22.02,11596193792,19327352832,60,11596132352
187,1566387110,service2,exec2,16,18779358401,1.045,6.53,25.51,11524517888,19327352832,59.63,11524456448
188,1566387140,service2,exec2,16,14326832475,1.165,7.28,28.44,11542335488,19327352832,59.72,11542269952
189,1566387160,service2,exec2,16,12898734529,1.042,6.51,25.44,11542446080,19327352832,59.72,11542372352
190,1566387170,service2,exec2,16,14360925765,0.887,5.54,21.66,11540488192,19327352832,59.71,11540406272
191,1566387190,service2,exec2,16,10043768084,0.932,5.83,22.75,11540746240,19327352832,59.71,11540684800
192,1566387200,service2,exec2,16,17959703624,0.952,5.95,23.24,11540746240,19327352832,59.71,11540684800
193,1566387220,service2,exec2,16,13406001374,1.215,7.59,29.66,11541024768,19327352832,59.71,11540959232
194,1566387230,service2,exec2,16,14302908721,1.005,6.28,24.54,11613790208,19327352832,60.09,11613720576
